p,d,q,P,D,Q,s,AIC,BIC,converged
2,1,2,1,1,1,24,32760.62149599218,32838.27251662695,True
1,2,3,1,1,1,24,32804.69248442329,32882.33454263096,True
2,2,4,1,1,1,24,32815.43082753096,32905.01264446478,True
3,2,5,1,1,1,24,32823.658241137935,32925.1784352269,True
6,2,6,1,1,1,24,32840.55940639319,32965.95945734635,True
3,2,1,1,1,1,24,32849.399767281415,32927.04630747499,True
2,2,1,1,1,1,24,32874.96719107714,32946.645056278474,True
5,2,6,1,1,1,24,32889.9593342198,33009.38795417519,True
5,2,5,1,1,1,24,32898.12961470067,33011.593361035404,True
4,2,6,1,1,1,24,32907.96844478777,33021.42563374539,True
4,2,1,1,1,1,24,32909.78664539731,32993.401169620956,True
6,2,4,1,1,1,24,32910.04895013421,33023.51269646894,True
6,2,5,1,1,1,24,32911.46839682251,33030.90391928012,True
3,2,6,1,1,1,24,32922.77188660944,33030.25764456928,True
5,2,4,1,1,1,24,32932.64204774542,33040.14022806601,True
4,2,3,1,1,1,24,32945.90351109475,33041.462967350344,True
1,2,6,1,1,1,24,32983.402471652866,33078.945367617176,True
2,2,6,1,1,1,24,32985.60797027302,33087.1222972351,True
1,2,4,1,1,1,24,32994.53315085302,33078.142846657924,True
2,2,5,1,1,1,24,32995.157225044706,33090.7056430108,True
0,2,6,1,1,1,24,32999.32248439706,33088.8939493636,True
4,2,5,1,1,1,24,33003.104476744316,33110.596446956166,True
3,2,3,1,1,1,24,33006.53407246845,33096.121062708065,True
4,2,4,1,1,1,24,33012.39303255017,33113.91909174184,True
5,2,3,1,1,1,24,33032.16397036803,33133.69002955969,True
0,2,5,1,1,1,24,33063.75687929253,33147.36174501286,True
4,2,2,1,1,1,24,33064.738804451765,33154.32579469138,True
1,2,5,1,1,1,24,33068.35834430257,33157.93498614578,True
2,2,2,1,1,1,24,33089.10435883794,33166.75089903152,True
5,2,1,1,1,1,24,33092.10765742769,33181.68947436151,True
6,2,0,1,1,1,24,33099.76184838523,33189.33849022844,True
3,2,4,1,1,1,24,33102.33779179242,33197.89172985517,True
6,2,1,1,1,1,24,33106.11714971333,33201.665567679425,True
0,2,4,1,1,1,24,33124.88004203464,33202.51761671062,True
